Order,Question,A,B,C,D,answer
1,_____ refers to the substances eaten by farm animals,Food,Feed,Forage,Feeder,C
2,Which of the following branches of agriculture will a farmer who is interested in Ornamental plants engage in?,Agronomy,Extension,Forestry,Horticulture,D
3,The following are examples of annual crops EXCEPT______,Cotton ,Cowpea,Pineapple,Millet,C
4,Mechanical method of weed control includes the following EXCEPT,destroying the weeds with herbicides  , pulling weeds with hand, cutting weeds with cutlass   ,using hoe in removing weeds,A
5,Which of the following is NOT a pest of farmland,  	 Caterpillar, Earthworm,Squirrel,Termite,B
6,A plant that grows where it is not wanted is referred to as a _________,Crop,Fodder,Forage,Weed,D
7,The following are examples of annual crops EXCEPT______,Cotton ,Cowpea,Pineapple,Millet,C
8,The act of encouraging farmers to sell farm produce to other countries is _____promotion,Bond,Cash,Export,Share,C
9,A farmer can control endoparasite in his flock by, allowing animals to graze together , feeding animals adequately , providing water ,regular deworming ,D
10,Which of the following is NOT a storage facility for grains?,Crib,Pit,Sack,Silo,B
11,Pests cause damages to crop in the following ways EXCEPT, eating up other pest in the farm  , eating up the whole part of plants, boring holes into various part of plants  ,sucking juice from fruits and seeds,A
12,Cereals are good sources of __________,Carbohydrates,Fat and oil,Mineral ,Vitamin,A
13,A farmer can control endoparasite in his flock by, allowing animals to graze together , feeding animals adequately , providing water ,regular deworming ,D
14,An okro plant in a maize farm is termed as,Crop,Flower,Pest,Weed,D
15,Which of the following is an example of succulent feed?,Bone meal,Fish meal,Silage,Straw,C
16,An important export produce in Nigeria is,Banana,Cocoa,Orange,Salt,B
17,A good sources of calcium for animal feed production is,Blood meal,Bone meal, Cereal,Fishmeal,B
18,Which of the following crops cannot be processed by winnowing,Bambara nut,Cowpea,Maize,Sorghum,F
19,The act of encouraging farmers to sell farm produce to other countries is _____promotion,Bond,Cash,Export,Share,C
20,Which of the following is an example of burrowing insect?,Cricket,Grasshopper,Weevil,Locust,B
21,Cocoa bean is a raw material for the production of _____,Chocolate,Soap,Cooking oil,Plastic,A
22,In biological control of weeds______ are used in controlling weeds,Living organisms,Machines,Herbicides,Burning,A
23,The following method are used for controlling weeds EXCEPT,hand pulling   	 ,use of herbicides  ,   burning, use of pesticide,D
24,The rubbing of wet clayey soil between the thumb and fore finger will indicate _____ feeling,Gritty,Powdery,Sticky,Silky,C
25,Which of the following is an example of burrowing insect?,Cricket,Grasshopper,Weevil,Locust,B
26,Weed are useful in the following ways EXCEPT,compete with crop for nutrient   , conservation of water ,control soil erosion,,A
27,Which of the following is a piercing and sucking insects,Aphid,Cricket,Grasshopper,Termite,A
28,Mechanical method of weed control includes the following EXCEPT,destroying the weeds with herbicides  , pulling weeds with hand, cutting weeds with cutlass   ,using hoe in removing weeds,A
29,Which of the following animals does not feed on hay?,Cattle,Goat,Horse,Poultry,D
30,Disease causing organisms are referred to as____,Pathogene,Pathogenic,Pathogenn,Paraforce,B
31,A vertical cross-section of soil from the top soil down to the bedrock is called soil _____,Structure,Horizon,Profile,Texture,C
32,Apiculture deals with keeping of ___,Bees,Ducks,Rabbits,Turkey,A
33,Disease – causing organisms in animal husbandry  are transmitted through the following means except.,Air,Water,Feed ,Insect vector,F
34,The following are biting and chewing insects EXCEPT,Bettle,Grasshopper,Butterfly,Rat,D
35,When plant refuses to germinate it is term to be,Recessive,Active,Viable,Dormant,D
36,Feeds that supply energy to the body of an animal is termed___,. Energy- releasing food, Energy- yielding feeds ,. Energy- boosting feeds,Energy- reducing feeds,C
37,Agriculture provides the following except,Food,Shelter,Grass,Employment,C
38,Which of the following crops is cultivated mainly for its protein content?,Beans,Cocoa,Oil palm,Rice,A
39,Growing of enough crop for farmer to feed himself and his family is regarded as,Commercial,Cooperative,Mixed,Subsistence,D
40,Activities carried out in the farm before   planting is,Post planting,Pre planting,Spacing,Planting,B
41,The following are examples of annual crops EXCEPT______,Cotton ,Cowpea,Pineapple,Millet,C
42,Activities carried out in the farm before   planting is,Post planting,Pre planting,Spacing,Planting,B
43,Swollen and eruption on the udder of a cow are symptoms of,Anthrax,Mastitis,Rinderpest,Brucellosis,B
44,Which of the following branches of agriculture will a farmer who is interested in Ornamental plants engage in?,Agronomy,Extension,Forestry,Horticulture,D
45,Disease causing organisms are referred to as____,Pathogene,Pathogenic,Pathogenn,Paraforce,B
