Order,Question,A,B,C,D,answer
1,The force of attraction which makes an object fall to the ground if not supported is,A. earth’s movement.,​​​B. earth’s attraction ​,C. earth’s gravitational attraction.,D. attraction of the masses.,C
2,Changes in male characteristics is accompanied by the following except  _____,     (a)Deep voice  ,   (b)Facial hair   ,c)Growth of the breast ,d)Ability to produce sperm.,C
3,The revolution of the earth around the sun causes,A. day and night. ,B. distribution of radiant heat.,C. eclipse,D. seasons,D
4,All the following are examples of primate except ____, (a)Lemurs   ,      b)Gorilla ,    (c)Man   ,d)Elephant,D
5,Which of the following is a good conductor of heat?,A. Aluminium ,B. Chlorine ,C. Hydrogen ,D. Oxygen,A
6,Gravitational pull causes the following except,(a) makes object to have weight.,(b) causes object to fall back when thrown up.,(c) causes objects to float in air.,(d) causes objects to feel heavy.,C
7,​-------------------------is a state of not experiencing gravitational force,A.Force,B.Push and pull, C.Power ,D. Weightlessness ,D
8,Force is a product of,​A. distance and height of an object,B. mass and acceleration of an object,​C. length and breadth of an object,​D. mass and distance of an object,B
9,One of these is a source of energy,A. work,B. effort,​C. natural gas ,D. energy,C
10,One of the following is a permanent change in man ____,(a)Fatness,  b)Growth of grey hair in later adulthood   , c)Pimples ,d)Enlargement of stomach.,B
11,The energy a body possess by the virtue of its motion is,A. heat energy,B. light energy,C. kinetic energy,D. potential energy,C
12,Heat energy can be used for the following except,A. generate heat for steam engines               A. generate heat for steam engines                  A. generate heat for steam engines                     A. generate heat for steam engines ,B. generate heat for cooking ,C. prevention of germs on some consumable items ​,D.  vision in the dark,D
13,The earth takes -------------to complete one revolution around its axis per day,A. 1 hour,B. 23 hours, 56 minutes, 41 seconds,C. 27 hours​,D. 20 hours, 5.3 minutes, 22 seconds​,B
14,Which of these is not a major type of habitat?,   (a)Aquatic   ,b)Arboreal  ,c)Terrestrial ,d)Marine  ,D
15,On air or tree environment is also known as _____,Airy habitat   ,      b)Arboral habitat ,      (c)Arboreal habitat   ,  d)Jumping habitat,C
16,​-------------------------is a state of not experiencing gravitational force,A.Force,B.Push and pull, C.Power ,D. Weightlessness ,D
17,Force is a product of,​A. distance and height of an object,B. mass and acceleration of an object,​C. length and breadth of an object,​D. mass and distance of an object,B
18,The transition stage of development is ______,Baby – childhood – Adulthood   , b)Childhood- Body –Adolescent –Adulthood ,  (c)Baby –Adulthood – Childhood –Adolescent,d)Adulthood – Adolescent –Baby –Childhood.,A
19,A/an __ experiences weightlessness.,(a)  astronaut in a space craft. ,(b)  doctor in a hospital.,(c) engineer in his workshop.,(d) pilot in a plane. ,A
20,Which of these is not an example of contact force?, A. Frictional force , B.Magnetic force, C.Pull,D.Push ,B
21,Which of the following is not a way of preventing diseases?,A. Drinking clean water. ,B. Immunization,C. Sleeping in a decorated room.,D. Use of mosquito net.  ,C
22,Development is defined as _____,  (a)Growth in different organisms    ,    b)Increase in age ,  (c)Development of muscles   , (d)Advance change brought about as organism grows.,D
23,The following form the inner solar system except,A. Mercury,B. Venus,​C. Saturn​,D. Mars,C
24,Toxic means _______,    (a)Poisonous,   (b)Sweety     ,   (c)Substance  ,  (d)Potent,A
25,Which of the following is a good conductor of heat?,A. Aluminium ,B. Chlorine ,C. Hydrogen ,D. Oxygen,A
26,The transition stage of development is ______,Baby – childhood – Adulthood   , b)Childhood- Body –Adolescent –Adulthood ,  (c)Baby –Adulthood – Childhood –Adolescent,d)Adulthood – Adolescent –Baby –Childhood.,A
27,Which of the following organisms lives in an arboreal habitat?,   (a)Orangutan     ,b)  Penguin ,c) Lizard,d)Lion,A
28,Human beings belong is different from other primates because,   a)He can stand upright ,b)He has nails and not claws      ,     c)He possesses largest and highly developed brain for thinking and speech  , d)He has hair on every part of his body.,C
29,The following are advantages of friction except that it,A. enables a car to come to rest.  , B. enables sharpening of tools., C. makes an object move on belt drives. ,D. produces heat in the moving machine parts.,D
30,Water environment is also _____,(a)Aquarium, (b)Aqua  habitat  ,c)Aquatic habitant , (d)Liquid habitat,A
31,Examples of terrestrial organisms include all of the following except,(a)Earthworm, (b)Rats, (c)Lobsters,d)Man .,C
32,Which of these is not a major type of habitat?,   (a)Aquatic   ,b)Arboreal  ,c)Terrestrial ,d)Marine  ,D
33,Heat energy can be used for the following except,A. generate heat for steam engines               A. generate heat for steam engines                  A. generate heat for steam engines                     A. generate heat for steam engines ,B. generate heat for cooking ,C. prevention of germs on some consumable items ​,D.  vision in the dark,D
34,All the following are examples of primate except ____, (a)Lemurs   ,      b)Gorilla ,    (c)Man   ,d)Elephant,D
35,Webbed feet help which of these birds to swim in water?, (a)Parrot ,b)Duck,    (c)Weaverbird,d)Crocodile,B
36,​A way of reducing friction in the moving parts of a machine is by applying,A. bitumen ,B. diesel,C. grease,D.kerosine ,C
37,On air or tree environment is also known as _____,Airy habitat   ,      b)Arboral habitat ,      (c)Arboreal habitat   ,  d)Jumping habitat,C
38,The energy a body possess by the virtue of its motion is,(a)  heat energy,(b)  light energy ,(c)  kinetic energy ,(d)potential energy ,C
39,One of these is a source of energy,A. work,B. effort,​C. natural gas ,D. energy,C
40,​The following are advantages of friction except that it,(a)  enables a car to come to rest. ,(b) enables sharpening of tools.  ,(c) makes an object move on belt drives. ,(d) produces heat in the moving machine parts.,D
41,Gravitational pull causes the following except,(a) makes object to have weight.,(b) causes object to fall back when thrown up.,(c) causes objects to float in air.,(d) causes objects to feel heavy.,C
42,The earth takes -------------to complete one revolution around its axis per day,A. 1 hour,B. 23 hours, 56 minutes, 41 seconds,C. 27 hours​,D. 20 hours, 5.3 minutes, 22 seconds​,B
43,The force of attraction which makes an object fall to the ground if not supported is,A. earth’s movement.,​​​B. earth’s attraction ​,C. earth’s gravitational attraction.,D. attraction of the masses.,C
44,The revolution of the earth around the sun causes,A. day and night. ,B. distribution of radiant heat.,C. eclipse,D. seasons,D
45,Which of these is not an example of contact force?, A. Frictional force , B.Magnetic force, C.Pull,D.Push ,B
46,The unit of force is,​A. Joules,B.newton ,​C. watts,​D. meters,A
47,Octopus, fish and algaes are found in _____,     (a)Freshwater  bodies  ,  b)Rain forests ,    (c)Marine habitats  ,(d)Tree habitats.,C
48,Changes in male characteristics is accompanied by the following except  _____,     (a)Deep voice  ,   (b)Facial hair   ,c)Growth of the breast ,d)Ability to produce sperm.,C
49,On air or tree environment is also known as _____,Airy habitat   ,      b)Arboral habitat ,      (c)Arboreal habitat   ,  d)Jumping habitat,C
50,Water environment is also _____,(a)Aquarium, (b)Aqua  habitat  ,c)Aquatic habitant , (d)Liquid habitat,A
51,What type of energy does the sun give out?,(a) ​solar energy ,(b)  radiant energy ,(c)  kinetic energy ,(d)potential energy ,A
52,One of these is a source of energy,A. work,B. effort,​C. natural gas ,D. energy,C
53,The ability to do work is,(a)  tension ,(b)  weight,(c)    newton ,(d)energy ,D
54,Water environment is also _____,(a)Aquarium, (b)Aqua  habitat  ,c)Aquatic habitant , (d)Liquid habitat,A
55,Terrestrial habitat can further be divided into  ____,_____ and _____,a)Swamp, ocean and lagoon  ,      (b)Desert, swamp, and seas  ,c)Lakes, grassland and deserts   ,d)Deserts, grassland and rain forest,D
56,The scientist that proposed the principles of gravity is,A. Moses.,​B. Isaac Newton​,C. Plato,D Aristotle,B
57,The ability to do work is,A. tension   ,B. weight ,​C. newton ,D. energy,D
58,Which of the following is not a way of preventing diseases?,A. Drinking clean water. ,B. Immunization,C. Sleeping in a decorated room.,D. Use of mosquito net.  ,C
59,The following are classes of food except,A. Carbohydrates  ,B. fats and oil,​C. glucose ,D. mineral salts,C
60,Webbed feet help which of these birds to swim in water?, (a)Parrot ,b)Duck,    (c)Weaverbird,d)Crocodile,B
61,Most ___   depends on chemicals or product of chemicals as their raw material, (a)Nam  (a)School ,b)Bus  ,    (c)Industries,d)Place.,C
62,The following are characteristics of living things except,A. Expansion  ,B. feeding ,C. growth ,D.movement  ,F
63,The unit of force is,(a) joules,(b)  newton ,(c)  watts,(d) meters,A
64,​The following form the inner solar system except,(a)  Mercury ,(b) Venus,(c) Saturn,(d) Mars,C
