Order,Question,A,B,C,D,answer
1,All of these are the benefits of athletics except,Develop skills    ,Aids competition ,Promote fighting,Creates avenue for socializing    ,C
2,___ is regarded as harmful use of drugs,drug abuse    ,drug addiction,drug abuser,drug dependence,A
3,All of these are examples of indoor recreational activities except,Watching television,Playing football     ,Dancing    ,Playing game      ,F
4,In the game of shot put, the playground or court should be ____,Free of potholes     ,Full of grasses    ,Full of trees     ,Presence of rocks and stones,F
5,All of these are examples of sports injuries EXCEPT one,dislocation,fracture,bleeding,mosquito bite,D
6,Which of these lower stress and depression,Recreation and dance   ,Footballing     ,Boxing,Fighting,A
7,The world soccer governing body is___,CAF,FIFA,NSSF,UEFA,B
8,One of these is not an injury in sports,dislocation  ,fractures ,wound,mosquito bite,F
9,Domestic accident is usually associated _____,At home,Road,School,Factories,A
10,Which of these is not a career in physical education?,  coaching   ,teaching   , sport physiologist , community development ,D
11,Bata dance is a type of dance associated with the people of____,Yoruba,Hausa,Igbo,Tiv,A
12,An advantage of personal cleanliness is,Mouth odor     ,smelly clothes    ,good health    , friends avoiding you,F
13,All of these are the benefits of athletics except,Develop skills    ,Aids competition ,Promote fighting,Creates avenue for socializing    ,C
14,The following are safety precautions while performing exercises except,Start slowly and progress gradually,Wear appropriate clothing and shoe  ,Exercise vigorously immediately after eating   ,Stop exercising  immediately you start feeling pains, dizzy, irregular heartbeat,A
15,The following are officials in tennis EXCEPT one,high court judge   ,an umpire   ,two supporting lines men   ,time recorder,F
16,The officials of tennis include,Fan,Coach,Umpire,referee,C
17,All these are apparatus used in gymnastic EXCEPT___,parallel bar   ,horizontal bar   ,balance beam   ,hurdle,D
18,Athletics is a game made up of ____ and ____ event,Biro and paper,Racket and gloves   ,Ball and socks   ,Tracks and field,D
19,Pentathlon is a track and event which consists of___ events,5   ,3,12,7,F
20,Camping, fishing, mountaineering are example of,Indoor recreational activities ,Outdoor recreational activities,None of the above     ,All of the above,B
21,The following are the health implication of human trafficking on the victims EXCEPT___,suffer physical abuse,suffer from malnutrition   ,sexual abuse on victims   ,they enjoy being kidnapped,D
22,What does yellow card issued by the referee to a player in soccer game means___,send off ,warning ,pampering,trapping the ball,F
23,Accidents are classified into,domestic and international ,domestic and occupational ,road and safety,safety,F
24,__________ is a source of protein,Yam,Rice,Garri,Beans,D
25,The following are examples of non-communicable disease except,obesity,cancer,boil,HIV/Aids,D
26,One of these is are a kind of posture  except,akimbo posture,forward head posture,Standing posture,swayback posure,C
27,The red cross inscribed on the front of the first aid box is the symbol of___,road warders       ,medical society ,red cross society,police force,F
28,The movement of the entire body from one sport to another is called___ movement,locomotor,relocation ,non-locomotor,transportation,F
29,Athletics is a game made up of ____ and ____ event,Biro and paper,Racket and gloves   ,Ball and socks   ,Tracks and field,D
30,One of these is NOT a basic skill in swimming,breast stroke   ,butterfly stroke   ,back stroke,dead drop,F
31,The following are types of communicable disease except,Malaria,Measles,Chicken pox,tuberculosis,A
32,One of the ways to prevent disease is by ______,adequate nutrition and exercises    ,taking water everyday    ,eating proteins only    , coming to school early,F
33,All of these are the benefits of athletics except,Develop skills    ,Aids competition ,Promote fighting,Creates avenue for socializing    ,C
