Order,Question,A,B,C,D,answer
16,HIV means,Highly infectious virus,Home induce virus,Human immune deficiency virus,Human immunization deadly virus,C
17,Which year did Nigeria became a republic,1960,1963,1962,1961,B
18,Which is not one of the advantages of living together in a family,Adam & Eve,Good social behaviour,Togetherness,Friendship,A
19,What is the best for a rape victim,Need counseling,Must be rejected by the society,Must be sent to an entrepreneur ,Must go to jail,A
20,National youth corps members are_____,Serving their selfish interest,Serving their father,Serving their fatherland,Serving the states where they come from,C
21,The following are environmental problem except,Cloud,Drought,Erosion,Pollution,A
22,Corruption  bribery  tribalism  lateness to work is act of ______,Conflicts,Indiscipline,Dedication,Cooperation,B
23,Classmates  coursemates are typical examples of a_____ social group,Tertiary,Secondary,Primary,Preschool,B
24,NAPEP was established to meet all these needs except,Assist people to acquire various skills,To help people with loan to start a business,To build houses for people,To help address the issue of poverty,C
25,You will marry when you are of age because of ______,Procreation,Companionship,Continuation of the family lineage,All of the above,D
26,Social studies can learned through these means except,Conflict,Discussion,Observation,Research,A
27,Conflicts is when there is ______ except,Disagreement between two or more people,Absence of peace,Grievances between people,Understanding between people,D
28,How many times of marriage do we have?,2,3,4,5,B
29,Which of the following is not a form of marriage,Christian,Monogamous,Court,Customary,D
30,All of these are examples of harmful substances except,Expired food,Natural fruits,Infected food,Rotten food,B
31,The following are good examples of agents of socialisation except,Church,Family,Club,At work,C
32,One of the following is not a reason for theft,To get back at someone,To be part of a group,To get national award,To get attention from family and friends,C
33,EFCC is a government agency that fights,Child abuse,Drug abuse and trafficking,Corruption,Political thug's,C
34,Which year did Nigeria became a republic,1960,1963,1962,1961,B
35,Conflicts is characterized by the following except,Disunity,Loss of life,Dialogue,Anarchy,C
36,Peace in the society leads to the following except,Development,Diversity,Unity,Greater achievement,B
37,Iro and buba is to Yoruba as blouse and two wrappers is to______,Igbo,Fulani,Hausa,Nupe,A
38,Which of the following is not a cause of cultism,Drug influence,Environment influence,Peer group influence,Proper parental care,D
39,Which of the following is true? Those who steal______,Make good friends,Become suspect at every instance of theft,May get arrested,Are always respected as dealer,C
40,Removal of parts of the female genital is known as______,Child marriage,Female genital mutilator,Female genital mutilation,Female genital defects,C
41,Which of the following organisation is not voluntary organisation?,Boys bridgade,Boys scouts,Girls guide,Police force,D
42,A good citizen should exhibit all the following except,Honest,Integrity,Selfishness,Tolerance,C
43,Which of the following is not an attribute of fake drug?,It is sold in motor vehicles with vendors telling people how good the drug is,It is prepared and mixed with orthodox medicine,It is a limitation of fast moving drugs,It is drug with active ingredients,D
44,Cultism in our society today can best be controlled by ______,Moral studies,Prayer,Killing,Nativity,A
45,A family which is made up of a man his wife and children is called,Compound,Extended,Nuclear,Monogamous,C
46,The study of man in a relation to his environment is a primary concern of ______,Business studies,Christian religion study,Islamic studies,Social studies,D
47,_____ is when you need to give something before you get either what is due to you,Contract inflation,Embezzlement,Bribery,Kickbacks,C
48,Which of the following is an examples of voluntary organisation,Police,Navy,Scout,Marine,C
49,The two types of environment are,Physical and social,Physical and spiritual,Physical and social life,Physical and religion,A
50,When people notice that you have the right type of valued and attitudes  they see you as______,Uncivilised,Civilised,Impolite,Ill mannered,B
51,The following are causes of conflicts except,Corporation,Greed,Selfishness,Religious intolerance,A
52,The following are functions of studies except,Enables us to understand our culture,Encourages our participation in social and civic duties,Helps us to understands our environment,Makes us to know how to fight our enemies,D
53,The full meaning of EFCC is______,Economic force concerning crime,Economic finance corruption council,Economic and financial crime commission,Economic federal committee on crime,C
54,419 is also know as,Gbajue,Advanced fee fraud,Advancement fraud,Advance fee fraudsters,B
55,The following are conflict resolution except,Hatred,Tolerance,Negotiation,Meditation,A
56,419 is also know as,Gbajue,Advanced fee fraud,Advancement fraud,Advance fee fraudsters,B
57,______ is responsible for arresting those that traffic drugs,EFCC,ICPC,NDLEA,NAPEP,C
58,Families that live together are usually ______ in the society,Rejected,Respected,Inculcated,Avoid,B
59,HIV/AIDS can best be transmitted by_____,Blood contact,Hand shake,Sleeping together,None of the above,A
60,Who among these conducts the court marriage,Senor local government,Imam,Pastor,Vicar,A
61,What is the acronym of NDLEA,Nigeria Drug Law Enforcement Agency,National Drug Law Enforcement Agency,National Drug Law Empowerment Agency,National Drug Enforcement Agent,B
62,One of these is not an illicit drug,Indian hemp,Cocaine,Paracetamol,Heroine,C
63,The process of learning begins with,Adolescence,Birth,Teenage year,Puberty,B
64,Which of the following subjects brings all experience of society together by way of interrelationship?,Business studies,Geography,Social studies,History,C
65,The process of sending and receiving messages from one place to another is,Circulation,Transportation,Communication,Information,C
66,Conflicts can be resolved by the following except,Adjudication,Appointing an intermediary,Propaganda,Dialogue,C
67,One of these is not an agent of socialisation?,Peer group,Occult group,Formal educational institutions,Mass media,B
68,Examination malpractices is part of the social problems,True,False,True/False,None,A
69,Family members consist all the following except,Aunty,Friends,Brother,Sisters,B
70,A typical example of mass action is,Large number of people buying food stuff in the market,A congregation worshipping in the church,A group of people building in a site,People protesting like in petroleum pump price,D
71,Which of these is an example of a primary social group,Church,Family,Market,School,B
72,Which of the following is not a common crime in our society,Advance fee fraud(419),Early marriage,Rape,Sales of contaminated food,B
73,Road safety club was supported by _____,Volunteers,Government,Organisation,,B
74,One of the consequences of cultism is,Violence killings,Peace and unity,Cooperation,Harmony,A
75,The process of learning which take place through interaction and enables the individual to know about a society is called______,Culture,Religious organization,Adoption,Socialisation,D
76,The following are negative effects of cultism except,Enhances productivity,Endanger life's,Leads to expulsion of member,Disturb peace of the society,A
77,Which of the following is not a reason for trafficking drugs,Fame,Rudeness,Peer influence,Ignorance,B
78,Which of these is the main socializing agent of the child in the early years?,The mother alone,The playmates,The family,The teacher,C
79,A family consists of____ _____ and _____,Father  Mother and Sister,Father  Mother and Children,Father's  Mother's and Children's,None,B
80,Social problems have negative affects in our society,True,False,All of the above,,A
81,White and black cloth is a cultural dress of the,Fulani's,Tiv's,Hausas,Igbo's,B
82,An environment where formal teaching and learning takes place is called ______,School,Home,Bank,Company,A
83,A man and woman are joined together in _____ except,Marriage,Unicorn,Union,Unity,B
84,Which is not one of the advantages of living together in a family?,Disagreement,Good social behaviour,Togetherness,Friendship,A
85,Which of the following subjects brings all experience of society together by way of interrelationship?,Business studies,Geography,Social studies,History,C
86,Socialisation is all about cultures and values,Agree,Strongly agree,Disagree,Disabled,C
87,Good family reputation gives _____ to member of the family,Great faith,Company,Good game,Good name,D
88,Rape is another name for,A. Sex abuse,B. Sex enjoyment ,C. Sex release,D. Sex by gay people ,A
89,One of the effects of cultism is _____,It destroys one future,Keeps one in high position,You command respect,All of the above,A
90,Drugs that can be produced sold and used legally when we are ill are called,Licit drugs,Illicit drugs,Illegal drugs,Common drugs,A
91,Which of the following is not a modern way of saving money,Banking,Cooperative,Buying of stocks or share,Entrusting into the care of relatives,D
92,The two(2) bodies set up by the federal government of Nigeria to try cases involving fraud are?,Central Bank and NNPC,ICPC and EFCC,Bank for finance and commerce,419 and eco bank,F
93,Road safety is an agent of socialisation that is responsible for trafficking and saving of life,False,I don't think so,True,Agree,A
94,______ is assisting in controlling traffic in the highways,RSC,FRSC,NYSC,NCDC,B
95,The primary cause of poverty is,Laziness,Few natural resources,Literacy,Large family size,C
96,The selling and buying of drugs and substances illegally is called,Drugs abuse,Drug trafficking,Heroine,Substance intoxication,B
97,Social studies indicates the right types of ______ in us,Values,Danger,A&B,None of the above,A
98,Kick back  bribery  embezzlement of funds are examples of which social problems,Drug trafficking,Child abuse,Corruption,Drug abuse,C
99,A male child of one's uncle is called,Nephew,Cousin,Niece,Daughter,A
100,One of the ways of preventing drug trafficking is by,Giving money to the youth,Giving cans to people,Government should come up with programmes that can eradicate unemployment in the society,Giving the youth an handshake,C
1,Music can be used in all of these occasions except one,Wedding,War,Communication,Fishing,D
2,A social studies as a discipline originated from,America,China,Egypt,Nigeria,A
3,Fulani's are mostly,Carpenter,Cattle rearers,Fishermen,Hawkers,B
4,Families that live together are usually ______ in the society,Rejected,Respected,Inculcated,Avoid,B
5,If a woman or man marries outside his or her group  the marriage is _____,An illegal marriage,An exogamous marriage,An endogamous marriage,Null and Void,B
6,Social and physical environment are good examples of _____ agent of socialisation,Community,Family,Playmates,Housemates,A
7,The following are methods of teaching social studies except,Discussion,Excursion,Filtration,Yoruba's,C
8,Classmates  coursemates are typical examples of a_____ social group,Tertiary,Secondary,Primary,Preschool,B
9,What is the acronym of ICPC,Independence corrupt practices and other related offences commission,Independence corrupt practices and other related offences,Independent corruption practices and other related offences commission,Independent corrupt practices and other related offenders,A
10,The following are various kinds of newspapers in Nigeria except_____,Nation newspaper,Network newspaper,Daily news paper,,B
11,Unprotected sexual intercourse  transfusion of infected blood and sharing of unsterilised skin piercing instrument causes _____,Tuberculosis,Diarrhea,HIV and Aids,Hypertension,C
12,The physical environment consist of the following except,Land and water,Vegetation and mineraln,Natural and man made,Settlement and cities,D
13,The drug sold at recognised pharmacy and normally recommended by pharmacists are,Fake drugs,Illicit drugs,Expired drugs,Licit drug,D
14,Social studies can be best define as the,Comprehensive study of man in his total environment,Study of earth as the home man,Study of man and his physical environment,Study of man and nine planets,A
15,To curb cultism  students should,Say no to cultism,Fear cultism,Arrest cultism,Fight with cultism,A
