Order,Question,A,B,C,D,answer
1,Without replacement ,0.1  ,0.47  ,0.42    ,0.21,B
2,Given a regular hexagon  calculate each interior angle of the hexagon ,60,30,120,15,C
3,A sector circle of radius 7.2cm which subtends an angle of 3000 at the centre is used to   form a cone. What is the radius of the base of the cone?. ,6cm ,7cm ,8cm    ,9cm      ,A
4,A girl walks 30m from a point P on  a bearing of 040 to a point Q. she   then walks 30m on a bearing of 140 to a point R. the bearing of R from P is ,90,50 ,45,40,A
5,Find the probability of selecting a figure which is parallelogram from a square  a rectangle  a rhombus  a kite and a trapezium  ,3/5 ,2/5 ,1/5 ,1/5 ,A
6,Given f(x) =3+x and g(x) =3-x  find g (f(x)),6,x,-x,0,B
7,A regular polygon has each of it angles as 1600. What is the number of sides of the polygon?  ,18     ,36        ,9      ,20,A
8,A bag contains 10 balls of which 3 are red and 7 are white. Two balls are drawn at random. Find the probability of none of the balls is red  if the draw is with replacement: ,0.9,1,0.47,0.49,D
9,If the length of the sides of a right angled triangle are (3x + 1)cm  (3x – 1)cm and xcm  what is x ? ,2,6,18,12,D
10,Z is partly constant and partly varies inversely as the square of d. when d = 1  z = 11 and when d = 2  z = 5. Find the value of z when d = 4.  ,2,3.5,5,5.5,B
11,If  are the roots of equation 6 +5x –x2 =0  find  x,11,-11,1,-1,B
12,A bag contains 10 balls of which 3 are red and 7 are white. Two balls are drawn at random. Find the probability of none of the balls is red  if the draw is with replacement: ,0.9,1,0.47,0.49,D
13,Which of the following specified sets of data is not necessarily sufficient for the construction of a triangle? ,three angles  ,two sides and a right angle  ,two sides and an included angle ,three sides,A
14,If 7 and 189 are the first and fourth terms of a geometric progression respectively find the sum of the first three terms of the progression ,182,180,91,63,C
15,Factorize 16(3x +2y)2 -25(a+2b)2  ,(12x + 8y -5a-10b)(12x+8y-5a-10b),20(3x +2y-a-2b)(3x+2y+a+1-2b) ,(12x +8y+5a+10b)(12x +8y-5a-10b),20(3x +2y+ a+2b)(3x + 2y+a+2b),A
16,1.3logx+logy =3. Then  y is  ,(10/x)3 ,(x/10)3  ,(x/10)-3 ,(10/x)1-1/3 ,A
17,When the price of egg was raised by N2 an egg  the number of eggs which can be bought for N 120 is reduced by 5. The present price of an egg is ,N 6. ,N 7  ,N 8,N10,C
18,Factorize 16(3x +2y)2 -25(a+2b)2  ,(12x + 8y -5a-10b)(12x+8y-5a-10b),20(3x +2y-a-2b)(3x+2y+a+1-2b) ,(12x +8y+5a+10b)(12x +8y-5a-10b),20(3x +2y+ a+2b)(3x + 2y+a+2b),A
19,The expression ax2 + bx takes the value 6 when x = 1 and 10 when x = 2. Find its value when  x = 5       ,10,12,6,.-10,A
20,If P varies inversely as V and V varies directly as R2  find the relationship between P and R given that R = 7 when P = 2 ,P = 98R2 ,PR2 = 98 ,P2R = 89 ,P = 1/98R ,B
21,What is the coordinate of centre of the circle X2+y2+2x-4y =10?  ,(-1 -2),( 1  2), (-1  2) , (1  -2),D
22,The indefinite integral of the function f(x) = xcosx for any constant k  is ,–cos + sinx +k   ,xsinx-cosx    ,xsinx for any constant k    ,x+sinx+cosx+k,C
23,Find the positive number n such that thrice its square is equal to twelve time the number ,1,4,2,5,B
24,One angle of an octagon is 1000 while the other sides are equal. Find each of these exterior angles. ,800 ,600 ,1400            ,400    ,D
25,In a class  37 students take a least one of chemistry  Economics and Government  8 students take Chemistry  19 take Economics and 25 take Government  12 students take Economics and Government but nobody takes Chemistry and Economics. How many students take both chemistry and Government? ,3,4,5,6,A
26,In a class  37 students take a least one of chemistry  Economics and Government  8 students take Chemistry  19 take Economics and 25 take Government  12 students take Economics and Government but nobody takes Chemistry and Economics. How many students take both chemistry and Government? ,3,4,5,6,A
27,If 32y – 6(3y) = 27  find y ,3,-1,2,-3,C
28,Dividing 2x3 – x2 – 5x + 1 by x  + 3 gives the remainder ,.-3,47,61,-47,D
29,The expression ax2 + bx takes the value 6 when x = 1 and 10 when x = 2. Find its value when  x = 5       ,10,12,6,.-10,A
30,A cyclist rode for 30minutes at xhkm/hr. if the total distance covered is less than 60km  what is the range of values for x? ,x<14   ,x<20  ,x<29  ,x< 28,D
31,What is the product of 27/5 ¸(3)3 and (1/5) ,5,3,2,1,C
32,If x= 0.0012 + 0.00074 + 0.003174  what is the difference between x to 2 decimal places and x to 1 significant figure? ,0.01,0.0051,0.1,0.005,D
33,If  are the roots of equation 6 +5x –x2 =0  find  x,11,-11,1,-1,B
34,A. cylinder has height 4cm and base radius 5cm.its volume to 3 significant figure is  ,314.2cm2 ,31.42 cm2 ,251 4cm2 ,251cm2,B
35,The indefinite integral of the function f(x) = xcosx for any constant k  is ,–cos + sinx +k   ,xsinx-cosx    ,xsinx for any constant k    ,x+sinx+cosx+k,C
36,If P varies inversely as V and V varies directly as R2  find the relationship between P and R given that R = 7 when P = 2 ,P = 98R2 ,PR2 = 98 ,P2R = 89 ,P = 1/98R ,B
37,Given f(x) =3+x and g(x) =3-x  find g (f(x)),6,x,-x,0,B
38,How long will take a sum of money invested at 8% simple interest to double the original sum? ,8 years  ,10.5years  ,(1years ,12.5years,D
39,A business invested a total of N200 000 in two companies which paid dividends of 5% and 7% respectively. If the received a total of N11  600 as dividend  how much did he invest at 5% ,N160 000 ,N140 000 ,N120 000 ,N80 000,C
40,A girl walks 30m from a point P on  a bearing of 040 to a point Q. she   then walks 30m on a bearing of 140 to a point R. the bearing of R from P is ,90,50 ,45,40,A
41,Solve the equation 3x+1 = 271-x  ,1/2,-1/2,3/4,-3/4,A
42,Two fair dice are rolled. What is the probability that both show up the same number of point?,1/36 ,7/36 ,½ ,1/6,D
43,The value of (0.303)3 – (0.02)3 is ,0.019,0.0019,0.0268,0.000019,C
44,A girl walks 30m from a point P on  a bearing of 040 to a point Q. she   then walks 30m on a bearing of 140 to a point R. the bearing of R from P is ,90,50 ,45,40,A
45,An (n-2)2 sided figure has n diagonal  find the number n of diagonal for a 25 sided Figure   ,8,7,6,10,B
46,A bag contains 10 balls of which 3 are red and 7 are white. Two balls are drawn at random. Find the probability of none of the balls is red  if the draw is with replacement: ,0.9,1,0.47,0.49,D
