,question,options,answer,subject.name,category
721,The revolution of the earth around the sun causes,"[""[\""A. day and night. \"",\""B. distribution of radiant heat.\"",\""C. eclipse\"",\""D. seasons\""]""]",D. seasons,Basic Science,JSS1
724,The revolution of the earth around the sun causes,"[""[\""A. day and night. \"",\""B. distribution of radiant heat.\"",\""C. eclipse\"",\""D. seasons\""]""]",D. seasons,Basic Science,JSS2
726,The revolution of the earth around the sun causes,"[""[\""A. day and night. \"",\""B. distribution of radiant heat.\"",\""C. eclipse\"",\""D. seasons\""]""]",D. seasons,Basic Science,JSS3
731,A/an __ experiences weightlessness.,"[""[\""A. astronaut in a space craft.\"",\""B. doctor in a hospital.\"",\""C. engineer in his workshop.  \"",\""D. pilot in a plane. ​\""]""]",A. astronaut in a space craft.,Basic Science,JSS1
763,Which of the following is a good conductor of heat?,"[""[\""A. Aluminium \"",\""B. Chlorine \"",\""C. Hydrogen \"",\""D. Oxygen\""]""]",A. astronaut in a space craft.,Basic Science,JSS1
764,Which of the following is a good conductor of heat?,"[""[\""A. Aluminium \"",\""B. Chlorine \"",\""C. Hydrogen \"",\""D. Oxygen\""]""]",A. astronaut in a space craft.,Basic Science,JSS2
765,Which of the following is a good conductor of heat?,"[""[\""A. Aluminium \"",\""B. Chlorine \"",\""C. Hydrogen \"",\""D. Oxygen\""]""]",A. astronaut in a space craft.,Basic Science,JSS3
771,Which of the following is a natural source of energy?,"[""[\"" A. Batteries \"",\"" B.Coal\"",\"" C.Electric generator\"",\""D.Kerosine \""]""]",B.Coal,Basic Science,JSS1
773,Which of the following is a natural source of energy?,"[""[\"" A. Batteries \"",\"" B.Coal\"",\"" C.Electric generator\"",\""D.Kerosine \""]""]",B.Coal,Basic Science,JSS2
781,Which of these is not an example of contact force?,"[""[\"" A. Frictional force \"",\"" B.Magnetic force\"",\"" C.Pull\"",\""D.Push \""]""]",B.Coal,Basic Science,JSS2
782,Which of these is not an example of contact force?,"[""[\"" A. Frictional force \"",\"" B.Magnetic force\"",\"" C.Pull\"",\""D.Push \""]""]",B.Coal,Basic Science,JSS1
790,The following are useful applications of friction except in,"[""[\"" A. Belt drives\"",\"" B.Brakes\"",\"" C.Clutches\"",\""D.Slides\""]""]",D.Slides,Basic Science,JSS1
791,The following are useful applications of friction except in,"[""[\"" A. Belt drives\"",\"" B.Brakes\"",\"" C.Clutches\"",\""D.Slides\""]""]",D.Slides,Basic Science,JSS2
799,The following are advantages of friction except that it,"[""[\""A. enables a car to come to rest.  \"",\"" B. enables sharpening of tools.\"",\"" C. makes an object move on belt drives. \"",\""D. produces heat in the moving machine parts.\""]""]",B. enables sharpening of tools.,Basic Science,JSS2
802,The following are advantages of friction except that it,"[""[\""A. enables a car to come to rest.  \"",\"" B. enables sharpening of tools.\"",\"" C. makes an object move on belt drives. \"",\""D. produces heat in the moving machine parts.\""]""]",B. enables sharpening of tools.,Basic Science,JSS1
812,​A way of reducing friction in the moving parts of a machine is by applying,"[""[\""A. bitumen \"",\""B. diesel\"",\""C. grease\"",\""D.kerosine \""]""]",C. grease,Basic Science,JSS1
813,​A way of reducing friction in the moving parts of a machine is by applying,"[""[\""A. bitumen \"",\""B. diesel\"",\""C. grease\"",\""D.kerosine \""]""]",C. grease,Basic Science,JSS2
819,The following are characteristics of living things except,"[""[\""A. Expansion  \"",\""B. feeding \"",\""C. growth \"",\""D.movement  \""]""]",A. Expansion,Basic Science,JSS2
822,The following are characteristics of living things except,"[""[\""A. Expansion  \"",\""B. feeding \"",\""C. growth \"",\""D.movement  \""]""]",A. Expansion,Basic Science,JSS1
829,The following are ways of maintaining good health except,"[""[\""  A. avoid drinking alcohol. \"",\""B. eating a balanced diet.\"",\"" C. maintaining personal hygiene. \"",\""  D. smoking cigarettes.\""]""]",D. smoking cigarettes.,Basic Science,JSS1
832,The following are ways of maintaining good health except,"[""[\""  A. avoid drinking alcohol. \"",\""B. eating a balanced diet.\"",\"" C. maintaining personal hygiene. \"",\""  D. smoking cigarettes.\""]""]",D. smoking cigarettes.,Basic Science,JSS2
848,Which of these is not a class of food?,"[""[\""A. Carbohydrate ​\"",\""B. Fats and oils \"",\"" C. glucose\"",\""D. Protein\""]""]",C. glucose,Basic Science,JSS2
849,Which of these is not a class of food?,"[""[\""A. Carbohydrate ​\"",\""B. Fats and oils \"",\"" C. glucose\"",\""D. Protein\""]""]",C. glucose,Basic Science,JSS1
863,Which of the following is a carbohydrate?,"[""[\"" ​A. Mango\"",\""B. Meat\"",\"" C. Okro \"",\""D. Rice\""]""]",D. Rice,Basic Science,JSS1
864,Which of the following is a carbohydrate?,"[""[\"" ​A. Mango\"",\""B. Meat\"",\"" C. Okro \"",\""D. Rice\""]""]",D. Rice,Basic Science,JSS2
872,The following are natural sources of water except,"[""[\""A. ocean \"",\""B. pipe-borne \"",\""C. rain \"",\""D. spring  \""]""]",B. pipe-borne,Basic Science,JSS2
873,The following are natural sources of water except,"[""[\""A. ocean \"",\""B. pipe-borne \"",\""C. rain \"",\""D. spring  \""]""]",B. pipe-borne,Basic Science,JSS1
881,Which of the following is not a way of preventing diseases?,"[""[\""A. Drinking clean water. \"",\""B. Immunization\"",\""C. Sleeping in a decorated room.\"",\""D. Use of mosquito net.  \""]""]",B. pipe-borne,Basic Science,JSS1
883,Which of the following is not a way of preventing diseases?,"[""[\""A. Drinking clean water. \"",\""B. Immunization\"",\""C. Sleeping in a decorated room.\"",\""D. Use of mosquito net.  \""]""]",B. pipe-borne,Basic Science,JSS2
