Order,Question,A,B,C,D,answer
1,How much was the trade discount?,N42,500,N27,500,N22,500,N20,000,A
2,If a firm has a turnover of N50 000 and the cost of goods sold is N40 000, what is the percentage of gross profit on sale? ,30.50%,20.50%,20.00%,D.10.0%,C
3,The wealth of a nation depend on the volume of its,bilateral trade activities,commercial activities,multilateral trade activities,stock market,B
4,The development of a container and a graphic design for a product is called ,packaging ,promotion,processing  ,production.,A
5,Hire purchase is beneficial to the seller because, it enhances his living standard ,it increases his turnover ,people pay instalmentally, of the patronage he enjoys.,B
6,A counter-offer in a contract is regarded as,an acceptance,an invitation to treat,a rejection,a consideration,C
7,The agency in Nigeria which ensures that products conform to government quality specifications is the,Standards Organization of Nigeria,Nigerian Consumers’ Association,Manufacturers’ Association of Nigeria,Nigerian Chamber of Commerce.,A
8,The  lumbering of trees by a furniture company is an example of,primary production,secondary production,tertiary production,Indirect production,A
9,Discounts offered by firms to middlemen for bulk purchases are ,A   trade discounts,sales  bonanza    ,cash discounts ,seasonal,A
10,The use of vending machines in retailing is hindered in a developing economy owing to,poor distribution network   ,low level of education    ,ineffective communication system,lack of steady power supply.,D
11,Which of the following is a form of sales promotion?,Promotion through radio,Advertising by television,Distributing printed sales literature,Offering free samples to customers,D
12,Consumerism aims at protecting the consumer from,harmful products  ,drug addiction,smoking cigarettes ,alcohol consumption. ,A
13,The characteristic which ensures that money is free from forgery is its ,legality ,durability ,recognition ,credibility ,B
14,Which of these is NOT a source of capital to First Bank of Nigeria Plc?,Equipment leasing,Lean from friends,Profit plough back,Sales of shares,B
15,One of the main objectives of the Second- tier Securities Market in Nigeria is to,achieve a realistic exchange rate for the naira,eliminate currency  dealings in the black market,assist companies to raise capital,attract investment flow.,D
16,The Organization of Petroleum Exporting Countries (OPEC) is an example of a,cartel,trust,holding company,consortium,A
17,The main concern of marketing concept is to ,reduce the number of retail outlets ,identify consumer needs and satisfy them ,increase sales to meet consumer needs ,encourage division of labour.,B
18,The sustainable growth of commerce is largely due to ,marketing   ,advertising,exchange ,branding.,C
19,Calculate the current assets.,15,000,20,000,30,000,45,000,A
20,The creation of goods and services to satisfy human wants is referred to as ,manufacturing ,commercialization ,Production ,entrepreneurship ,C
21,The creation of goods and services to satisfy human wants is referred to as ,manufacturing ,commercialization ,Production ,entrepreneurship ,C
22,Wholesalers can be divided into, sales agents and brokers   , full service wholesalers and merchant wholesalers, cooperative wholesale society and limited service wholesalers , merchant wholesalers and agent middlemen.,B
23,A counter-offer in a contract is regarded as,an acceptance,an invitation to treat,a rejection,a consideration,C
24,Goods are  of merchantable  quality if they,conform to description  ,are of equal weight,are of the same quality ,conform to buyers' purpose,A
25,The instrument used in the capital market is ,treasury bill ,bill of exchange ,stock ,debenture ,C
26,Which of the following is used for temporary storage of data on a computer?,RAM.,ROM.,floppy disk.,flash disk.,A
27,The component of balance of payments which shows how the balance of both current and capital accounts are settled is 			known as,current account,monetary movement account,capital account.,social welfare account,B
28,The abbreviation C &amp; F indicates that the,production cost excludes the cost of carriage,selling price includes the cost of carriage,cost of production includes delivery charges,cost price includes the cost of carriage.,B
29,If the rate of turnover of a company in 1999 was 4 times while the average stock was N49, 600, determine the turnover.,N199, 400,N198, 400,N100, 200,N99, 200,B
30,A number of shops under one roof is the feature of a,supermarket,chain store,department store,mail order business,C
31,The availability of goods and services is brought to the notice of consumers through,personal selling  ,public relations,the telephone  ,advertising.,D
32,Which of the following is a quality of money?  ,Availability,Scarcity  ,Indivisibility ,Convertibility ,A
33,An agent employed to sell goods delivered to him by the principal is referred to as a ,Special agent ,del credere agent ,factor ,universal agent,B
34,Payment made to the insured by the insurer outside its legal obligation is ,premium paid, exgratia payment ,surrender value, sum assured.,B
35,One of the main objectives of the Second- tier Securities Market in Nigeria is to,achieve a realistic exchange rate for the naira,eliminate currency  dealings in the black market,assist companies to raise capital,attract investment flow.,D
36,A number of shops under one roof is the feature of a,supermarket,chain store,department store,mail order business,C
37,A major hindrance to tourism growth in Nigeria is ,absence of genuine tour operators ,lack of tourism master plan ,inadequate tourist centres,non-compliance to immigration laws.,B
38,The business organization that can effectively combine management with control is ,private limited liability company ,sole proprietorship ,public limited liability company ,co-operative society ,B
39,To increase the supply of money in a country, the central bank has to ,reduce cash ratio, sell securities in the open market, call on special deposits , raise cash ratio.,A
40,If the rate of turnover of a company in 1999 was 4 times while the average stock was N49, 600, determine the turnover.,N199, 400,N198, 400,N100, 200,N99, 200,B
41,Initial public offering is undertaken through the,secondary securities market,first-tier securities market,primary securities market,second-tier securities market,B
42,One of the obstacles  to achieving the objectives of ECOWAS is,lack of a common currency,colonial linkages,sovereignty of states,language differences.,D
43,The major dealers on the stock market are the ,agents ,jobbers ,investors ,brokers,D
44,Which of the following is not a means of payment in foreign trade?,Telegraphic money order,Specially crossed cheque,Letters of credit,Debit transfer,B
45,Initial public offering is undertaken through the,secondary securities market,first-tier securities market,primary securities market,second-tier securities market,B
46,Which of the following is a form of sales promotion?,Promotion through radio,Advertising by television,Distributing printed sales literature,Offering free samples to customers,D
47,Tourism can be classified as , tangible import, intangible import, visible export ,invisible export,D
48,The transformation of cotton into clothing is an example of,secondary production,tertiary production,primary production,direct production,A
49,Which of the following is a characteristic of a bearer cheque? ,it is made with transverse lines ,it is made payable to whoever presents it,It is made without teraservers lines,it is only payable into the payee’s account ,B
50,The main concern of marketing concept is to ,reduce the number of retail outlets ,identify consumer needs and satisfy them ,increase sales to meet consumer needs ,encourage division of labour.,B
51,The sustainable growth of commerce is largely due to ,marketing   ,advertising,exchange ,branding.,C
52,An arrangement by independent firms to share the market of their products on quota basis is referred to as  ,trust ,integration ,syndicate ,cartel,D
53,The sustainable growth of commerce is largely due to ,marketing   ,advertising,exchange ,branding.,C
54,The computer using linear integrated circuit technology coupled with quantification of data in terms of length and distance is known as,digital computer,analogue computer,mainframe computer,hybrid computer.,A
55,Which of the following does NOT appear on a cheque on presentation for payment?,Amount in words and figures,Date of withdrawal,Name of the cashier,Name of the payee,C
56,A worker who process rice is engaged in,constructive activity,commercial activity,extractive activity,Manufacturing activity,D
57,Which of the following is a characteristic of a bearer cheque? ,it is made with transverse lines ,it is made payable to whoever presents it,It is made without teraservers lines,it is only payable into the payee’s account ,B
58,The main aim of selling directly to the consumers by manufacturers is to ,reduce transportation cost,make contact with individual consumers ,discourage the activities of middlemen ,maximize profit margin,C
59,If a firm has a turnover of N50 000 and the cost of goods sold is N40 000, what is the percentage of gross profit on sale? ,30.50%,20.50%,20.00%,D.10.0%,C
60,Hire purchase is beneficial to the seller because, it enhances his living standard ,it increases his turnover ,people pay instalmentally, of the patronage he enjoys.,B
61,Platinum Habib Bank Plc. is an example of __ bank.,central,commercial,development,merchant,B
