Order,Question,A,B,C,D,answer
1,Complete each of the following questions with the most appropriate option from the list lettered A-D.         The children look forward to ---------- from their parents soon.,be heard,be hearing,hearing,hear,C
2,Choose the option that does not have the same sound as the one represented by the symbol(s).   	   /g/,Good ,Ghost,Badge,Drag ,C
3,(From the list of words lettered A-D  choose the word that is NEARLY OPPOSITE  in meaning to the capitalized word in this sentence.)      Sometimes   a journalist is REBUKED for being too inquisitive.,condemned ,praised,castigated,reproached,B
4,(From the options lettered A-D  choose the option that completes this sentence.)         She --------- regularly.,eat,ate,eaten,eats,D
5,Complete each of the following questions with the most appropriate option from the list lettered A-D.         The lady about --------- I spoke to you last week is here now.,which,who,whom,who’s,C
6,(From the options lettered A-D  choose the option that completes this sentence.)      There was so --------- traffic that we got home late.,many,more,much,most,C
7,Complete each of the following questions with the most appropriate option from the list lettered A-D.         John did not take part ---------- the parade.,at,in,on,for,B
8,Choose the correct form of adjectives in the brackets for each sentence.      My pen is as ________________   as yours.,good,better,best,,A
9,From the options lettered A-D  choose the option that completes each of the following sentences.         The earth --------- spherical in shape.,are,will be,was,is,D
10,Choose the correct form of adjectives in the brackets for each sentence.      Olumba is the _____________  man in this village.,strong,stronger,strongest,,C
11,(Choose the option that has the same sound as the one represented by the symbol.)      /e/,Hair,Head,Chair,Girl,B
12,(Choose the option that does not have the same sound as the one represented by the symbol.)      /p/,Phone,Paper,Pin,Pear,A
13,(Choose from the lettered A- D  the word that best completes this sentence.)      My clothes ---------- because I had to walk in the rain to the house.,will be wet,are wet,had been wet,was wet,B
14,(From the options lettered A-D  choose the option that completes this sentence.)         The writer of prose is called a _____,player,novelist,writer,playwright,B
15,Choose from the options lettered A-D the one that contains the given phonetic symbol.         /dʒ/,dictate,jug,guest,dig,B
16,(From the options lettered A-D  choose the option that completes this sentence.)      There was so --------- traffic that we got home late.,many,more,much,most,C
17,Complete each of the following questions with the most appropriate option from the list lettered A-D.         He bought the sandals --------- the rate of one hundred a pair.,at,for,by,with,A
18,(From the list of words lettered A-D  choose the word that is NEARLY OPPOSITE  in meaning to the capitalized word in this sentence.)      In my opinion   the boy is INNOCENT of the crime.,guilty,accused,acquitted,victim,A
19,(Choose from the lettered A- D  the word that best completes this sentence.)      He lent his bicycle --------- a boy he hardly knew.,for,from,to,over,C
