Order,Question,A,B,C,D,answer
1,If 12 is subtracted from three times a number, the result is equal to two-third of the number plus 16. What is the number?,7,8,9,12,D
2,A piece of land was sold for N250,000 by an agent who charged 5% of the cost of the land. Find the owner’s amount,N237,500,N238,500,N239,400,N239,000,A
3,Evaluate 3^(x+2) =27,1,-1,3, -3,A
4,In a flying race, the second leg is twice as long as the first leg. If the total distance for both leg is 297km, how long is the first leg of the race?,92,62 ,99,84,C
5,Simplify 2x + 3x + x - 4x,2x,6x,5x ,3x,A
6,Find the HCF of 9x^2 and 27xy^2,9xy,9x,3x^2,3x,B
7,How many lines symmetry has a square?,4    ,3   ,2,1,A
8,Find the HCF of 12 and 24,12,80 ,18,19,A
9,A cube has _____ edges, _____ vertices and _____ faces.,6, 13, 12,12, 8, 6,8, 6 , 6 ,12,  4  , 8,B
10,Find the HCF of 12 and 24,12,80 ,18,19,A
11,Simplify the expression 4p + 45q – 3p – 40q,7p + 95q,p – 5q,7p + 5q,p + 5q,D
12,A circular representation of data is called _______,Pie chart,Bar Chart,Pictogram,None of the above.,A
13,Mr. Abioye has N17 in bank. How much does he need to buy a shirt that cost N33?,N16 ,N50,N51,N17,A
14,The following set of scores were obtained in a class test as follows; 8, 6, 9, and 7. Find the mean,7.5,3.5,4.5,6.5,A
15,Evaluate (2y-2)/2+(2y+2)/3  where y= 2,1,2,3,5,C
16,The following are quadrilaterals EXCEPT___,square,circle ,rectangle ,trapezium ,B
17,A cube has an edge of 12cm in length. What is its surface area in cm^2?,634,364,543,864,B
18,Express 0.009238 to 3 (s.f),0.009,0.00923,0.00924,0.923,A
19,Which of the following is a plane shape?,circle,cone ,cube,cuboid    ,A
20,Write 66, 500, 005 in words,Sixty six billion five hundred and five,Sixty six million five hundred thousand and five,Sixty six trillion five hundred and five,Sixty six thousand five hundred and five,B
21,Evaluate 3^(x+2) =27,1,-1,3, -3,A
22,Factorize x^2 + x – 2,(x+1)(x+2),(x+1)(x-2), (x-1)(x-2),(x-1)(x+2),D
23,I am an integer, if 21 is added to me , the result is -5. What value is the integer?,-26,+26,16,-16,A
24,Y&gt; -2 implies that,Y is greater than or equal -2,-2 is less than Y,Y is less than -2,Y is less than or equal to -2 ,B
25,Find the product of -15z and 17qrz,-255zr,-255qrz^2,-255qz ,255qr ,B
26,Facts and information obtained from Journals , newspaper, magazine etc are called ____ data,Primary,Secondary ,Event ,Probability,A
27,Factorize 10mn + 10mn^2,10m(n+1),10(10+n),10m (n-1),10mn(1+n),D
28,Simplify 6xy + 3y - xy + 2y,5xy + 5y,6xy + 2y,9xy + y,4xy + 6y,A
29,Find the product of -15z and 17qrz,-255zr,-255qrz^2,-255qz ,255qr ,B
30,Evaluate (2p-3q)/5R  given that p=2, q=-2 and R=1,- 2/5,2/5,1,2,D
31,______ is used for measuring angles,Protractor,Ruler,Compass,Pencil,A
32,The following set of scores were obtained in a class test as follows; 8, 6, 9, and 7. Find the mean,7.5,3.5,4.5,6.5,A
33,Given that y=(x+9)/(x-3)    find the value of x when y=4,7,4, 3 ,-3,A
34,The sum of a certain number and 16 is 42 what is the number?,20,22,24,26,D
35,Solve the equation 2x+1=9,3,4,6,8,B
36,______ is used for measuring angles,Protractor,Ruler,Compass,Pencil,A
37,Express 3.4176 in 3 significant figures,3.41,3.42,3.51,3.40,B
38,A number is multiplied by 5 and the result is twice the number added to 2. Find the number,0,2⁄7 ,2⁄3  ,11⁄2,C
39,Factorize x^2 + x – 2,(x+1)(x+2),(x+1)(x-2), (x-1)(x-2),(x-1)(x+2),D
40,Find 3/8=9/x,8,24, 21,16,B
41,Find the co-efficient of mt in the expansion of 4m (3n-2t) + 3t (3t-2m),-14,-8,-6,9,A
42,Three times a number is 7 greater than the number. Find the number,-16,-5,6,16,C
43,The following are quadrilaterals EXCEPT___,square,circle ,rectangle ,trapezium ,B
44,Solve the equation 2x+1=9,3,4,6,8,B
45,What is the place value of 8 in 7.82,Tens,Hundred,Tenths ,Hundredths,C
46,A number is multiplied by 5 and the result is twice the number added to 2. Find the number,0,2⁄7 ,2⁄3  ,11⁄2,C
47,Expand -2a(5b-3),-10ab+6a,10ab-6a,6a-10ab,-10ab-6a,A
48,Evaluate (-28p)/4q of (-9rq)/7,-9pq,+9pr,9r,9p4    ,B
49,Solve the question 2x + 1 =9,0,3,4,1,C
50,Simplify 2x + 3x + x - 4x,2x,6x,5x ,3x,A
51,Find the product of the mean and median of the following set of numbers 4, 5, 6, 6, 7, 6, 1,20,30,40,50,B
52,Simplify DCC + CDV,MMCV,MCV,CMXIV,MMC,C
53,Evaluate (2p-3q)/5R  given that p=2, q=-2 and R=1,- 2/5,2/5,1,2,D
54,Three times a number is 7 greater than the number. Find the number,-16,-5,6,16,C
55,Expand (4x-2) (3+x),11x- 4x^2+6,11x-4x-6 ,4x^2+10x-6,12x + 4x^2 – 6   ,C
56,Find the co-efficient of mt in the expansion of 4m (3n-2t) + 3t (3t-2m),-14,-8,-6,9,A
57,Express 144 eight in base ten,120,116,100,96,C
58,Factorize X2 + X + 2X + 2,(x + 1) (x + 2),(x – 1) (x – 2),(x + 4) (x + 1),(x – 2),A
59,P varies directly with T and p = 105 when T=400. Find p when T= 500,1.5x10^3 ,1.5x10^4 ,1.25x10^5 ,1.25x10^4 ,C
60,Given that 2m+n=5 and m+2n=4.find the value of m,-2,1,2,4,C
61,There are 180 girls in a mixed school. If the ratio of girls to boys is 3:4, the total number of students in the school is ______,405,420,430,520,B
62,Cuboid has ______ vertices,2,4,6,8,C
63,The following are properties of a square EXCEPT _____,all four sides are equal,diagonal are equal,only one pair of side is equal,opposite side are parallel,C
64,If 12 is subtracted from three times a number, the result is equal to two-third of the number plus 16. What is the number?,7,8,9,12,D
65,When k = 9, what is the value of 2k – 5?,6,10,13,22,C
66,Solve the equation x/3 +x/2  = 5/2,-3,1/2,2,3,B
67,Simplify 6xy + 3y - xy + 2y,5xy + 5y,6xy + 2y,9xy + y,4xy + 6y,A
68,Expand (4x-2) (3+x),11x- 4x^2+6,11x-4x-6 ,4x^2+10x-6,12x + 4x^2 – 6   ,C
69,Express 5230cm in litres,5.03,5.83,5.23,5.00,C
70,When 40 is divided by the product of k and 2, the result is 5. Find k,-4 ,3,4,5,C
71,Solve the equation x/3 +x/2  = 5/2,-3,1/2,2,3,B
72,The following are ways of presenting statistical data except  ______,Binary,Bar Chart,Pie chart,Pictogram,A
73,When 40 is divided by the product of k and 2, the result is 5. Find k,-4 ,3,4,5,C
74,Write 999 in Roman numerals,CMIXIX,CMXCIX,CMCXIX,XCIXIX,B
75,A car travels from Lagos to Ibadan, at a distance of 120km/h. If the car uses a 4hours in the journey, calculate the average speed of the journey?,13km/h,40km/h,12km,45km/h,B
76,Simplify the expression 4p + 45q – 3p – 40q,7p + 95q,p – 5q,7p + 5q,p + 5q,D
77,Remove the bracket and simplify   4 (y- 3) + 2(2y - 7),12y + 26,8y - 11 ,8y - 26,6y +  26,C
78,Given that y=(x+9)/(x-3)    find the value of x when y=4,7,4, 3 ,-3,A
79,I think of a number, I multiply it by 9, the result is 81 . Find the number,12,16,8,9,D
80,Write 66, 500, 005 in words,Sixty six billion five hundred and five,Sixty six million five hundred thousand and five,Sixty six trillion five hundred and five,Sixty six thousand five hundred and five,B
81,Simplify the expression 4p + 45q – 3p – 40q,7p + 95q,p – 5q,7p + 5q,p + 5q,D
82,Reduce  24/ 60 to a fraction in its lowest term,3/5,1/2 ,2/5,5/2,C
83,The sum of a certain number and 16 is 42 what is the number?,20,22,24,26,D
84,Solve the question 2x + 1 =9,0,3,4,1,C
85,The area of a square is 100cm^2. Find the length of a side.,7,8,11,10,D
86,Reduce  24/ 60 to a fraction in its lowest term,3/5,1/2 ,2/5,5/2,C
87,The sum of two consecutive numbers are divided by their difference is equal to 9. Find the larger number,-5,8,6,5,D
88,A car travels from Lagos to Ibadan, at a distance of 120km/h. If the car uses a 4hours in the journey, calculate the average speed of the journey?,13km/h,40km/h,12km,45km/h,B
89,One fourth of a certain number is removed from two-fifth of the number. If result is 3, find the number,27,12,20,-20,C
90,There are 6 red balls and 7 white balls in a basket. What is the probability of picking red ball?,1,13/6,6/13,7/13,C
91,Evaluate (2y-2)/2+(2y+2)/3  where y= 2,1,2,3,5,C
92,What is the place value of 8 in 7.82,Tens,Hundred,Tenths ,Hundredths,C
93,Which of the following is a plane shape?,circle,cone ,cube,cuboid    ,A
94,A cube has an edge of 12cm in length. What is its surface area in cm^2?,634,364,543,864,B
95,The following are properties of a square EXCEPT _____,all four sides are equal,diagonal are equal,only one pair of side is equal,opposite side are parallel,C
96,Find the compound interest on N800.00 at 4% for 2 years,N3,200.00,N865.28,N864.00,N65.28,D
97,Find 3/8=9/x,8,24, 21,16,B
98,Solve the inequality 3x – 1 ≤3-2x,x<4/5,x ≥  4/5,x ≤  2/5  ,x≤4/5,D
99,Four less than a number is 20 find the number,-16,16,24,-24,B
100,Simplify V + F - E for a cube,3,6,1,2,B
